中文字詞,英文字詞,出現頻率,負責單位
獸醫師法,Veterinarian Act,1,
動物用藥品使用準則,Veterinary Drugs Use Regulations,1,
衛生福利部食品藥物管理署,"FOOD AND DRUG ADMINISTRATION, MINISTRY OF HEALTH AND WELFARE",1,衛生福利部食品藥物管理署
上市後監測計畫,post-market surveillance scheme,1,
定性分析,qualitative analysis,1,
定量分析,quantitative analysis,1,
濃縮步驟,enrichment step,1,
連續稀釋,serial dilution,1,
加工肉品,RTE food,1,
畜禽及其產品之輸入管制,Import control of livestock and livestock products,1,
家畜產品,livestock products,1,
食品安全查核,food safety examination,1,
畜產品(肉類),livestock product (meat),1,
偶蹄類動物肉類之輸入檢疫條件,Quarantine Requirements for the Importation of Meat Derived from Cloven-hoofed Animals,1,
口蹄疫,FMD,1,
牛瘟,rinderpest,1,
非洲豬瘟,ASF,1,
動物健康問卷與食品安全問卷,Animal Health Questionnaire and Food Safety Questionnaire,1,
官方管制系統,official control system,1,
生產鏈,production chain,1,
殘留物監控結果,results of the previous year’s residue testing,1,
樣品,samples,1,
最大殘留容許限量,maximum residue level (MRL),1,防檢署、食藥署(中區管理中心)
NRP計劃,NRP plan,1,防檢署、食藥署(中區管理中心)
雞及鴨,chicken and duck,1,防檢署、食藥署(中區管理中心)
動物用藥殘留,animal drug residue,1,防檢署、食藥署(中區管理中心)
卡巴,Carbadox,1,
官方分析方法,official test methods,1,
β-內醯胺類抗生素,β-Lactam Antibiotics,1,
孔雀石綠及其代謝物,Malachite Green and its Metabolite,1,
硝呋喃代謝物,Nitrofuran Metabolites,1,
抗生素及其代謝物,Antibiotics and its Metabolites,1,
四環素類,Tetracyclines,1,
家禽畜產品農藥殘留多成分分析法,Method of Test for Pesticide Residues in Livestock and Poultry Products – Multiresidue Analysis,1,
水產品無機砷檢驗方法,Method of Test for Inorganic Arsenic in Aquatic Animals,1,
水產品、家禽畜產品及蜂蜜重金屬檢驗方法,"Method of Test for Heavy Metals in Aquatic Animals, Livestock and Poultry Products and Honey",1,
食品中甲基汞檢驗方法,Method of Test for Methyl Mercury in Foods,1,
限期改正,mandates correction within a specified period,1,三區管理中心、漁業署
養殖水產品移動管制,movement control of aquatic products,1,三區管理中心、漁業署
官方獸醫服務,official veterinary service,1,
公共衛生部門,Public Health Services,1,
檢驗及稽查,testing and inspection,1,北區管理中心、防檢署
產品召回,product recall,1,
公共衛生,Public Health,1,
認可實驗室,accredits laboratories,1,
認證實驗室,accredited labs,1,
動植物防疫檢疫署,Bureau of Animal and Plant Health Inspection and Quarantine(BAPGHIQ),1,防檢署
產品登記,product registration,1,防檢署
製造或輸入許可證,license to manufacture or import,1,防檢署
經營者,operator,1,
核可屠宰場,approved export abattoirs,1,
肉品加工廠,meat and egg processing establishments,1,
農業部,Council of Agriculture (COA),1,
食藥署,Food and Drug Administration (TFDA),1,
查驗/稽查,inspection / examination,1,TFDA
地方政府衛生局,Local governmental health authorities,1,
廣告管理,advertisement,1,TFDA
快速警報系統,rapid alert system,1,
食品廠,food factory,1,
紐西蘭初級產業部,New Zealand MPI,1,
食品安全風險分析,food safety risk analysis,1,
風險分類模型,risk categorization model,1,
屠宰、切割、加工、儲存,slaughter-cutting-processing-storage,1,
食品控制及監測,food controls and surveillance,1,
肉品分切及肉品加工廠,cutting or processing plant,1,
產品通路便捷系統,Product Management Distribution System (PMDS),1,
生產設施,production facility,1,
農場,farm,1,
不合規情況,non-compliances,1,食藥署
蜂產品,apian products,1,食藥署
藥劑殘留,residues,1,食藥署
衛生機關,MOHW,1,食藥署
歐盟合格乳製品,EU eligible dairy products,1,
衛生管制計畫,sanitary control program,1,
食品安全衛生管理法,Act governing food safety and sanitation,1,防檢署、食藥署(中區管理中心)
藥物殘留量,chemical residues,1,防檢署、食藥署(中區管理中心)
下架、沒收銷毀,"recalled from the market, then confiscated and destroyed",1,防檢署、食藥署(中區管理中心)
溯源,trace the products back to their origin,1,防檢署、食藥署(中區管理中心)
限制移動,movement-restricted,1,防檢署、食藥署(中區管理中心)
違規樣品,violative samples,1,
殘留違規,residue violations,1,
環丙氨嗪,cyromazine,1,
強力黴素,doxycycline,1,
鹽黴素,salinomycin,1,
申請文件,application documents,1,
蛋製品加工廠,egg product establishments,1,
產蛋雞農場,laying hen farms,1,
產蛋鴨農場,laying ducks farms,1,
人畜共通病原體,Zoonotic pathogens,1,
感染性生物材料,Infectious biological materials,1,
傳染病防治法,Communicable Disease Control Act,1,
疾管署,Taiwan CDC,1,
危險群,risk groups,1,
輸入申請,importation application,1,
生物安全管理組織,institutional biosafety committee (IBC),1,
輸入許可,import license,1,
生物安全等級,biosafety level,1,
稽查/檢查人員,inspection/examination,1,
地方政府衛生單位,Local health bureaus,1,
藥理活性物質殘留的監控計畫,control plan for residues of pharmacologically active substances,1,
B組子組,Group B sub-groups,1,
抗生素,anti-bacterial drugs,1,APHIA
賽洛嗪,cyromazine,1,APHIA
氟拉尼肼,fluralaner,1,APHIA
國家微生物監測計劃,National Microorganisms Monitoring Program,1,食藥署(三區管中心)
檢測計畫,testing plans,1,食藥署(三區管中心)
食品微生物檢測,food microbiological testing,1,食藥署(三區管中心)
食品稽查管理,food inspection and management,1,食藥署(三區管中心)
源頭製造及流通販售,source manufacturing and distribution sales,1,食藥署(三區管中心)
執委會 (EU) 605/2010 號規則,COMMISSION REGULATION (EU) No. 605/2010,1,
成分分析報告,certificate of analysis,1,
滅菌過程,sterilization process,1,
現場稽查,on-site inspections,1,
授權實驗室,authorized laboratories,1,
衛生管理措施,sanitation management,1,
自主回收,recall such products voluntarily,1,
設備及器具之清洗衛生,Cleaning and sanitation of equipment and utensils,1,
食品接觸面,Surfaces that come in contact with foods,1,
製造、加工、調配或包（盛）裝食品,"manufacturing, processing, preparing, or packaging (carrying) foods",1,
包（盛）裝材料,packaging (carrying) materials,1,
清潔劑或消毒劑,detergents or disinfectants,1,
環境用藥管理法,Environmental Agents Control Act,1,
食品作業場所,food operation site,1,
主管當局,competent authority,1,
公共衛生相關之要求,public health requirements,1,
歐洲委員會食品與獸醫辦公室,European Commission Food and Veterinary Office,1,
衛生福利部食品藥物管理署,Taiwanese authorities,1,TFDA
SPS 措施,SPS aspects,1,
歐盟衛生與食品安全總署,DG for Health and Food Safety (SANTE),1,
動物和獸醫公共衛生,animal and veterinary public health,1,
食品安全法規與管理,Food safety regulation and management,1,
縣市政府衛生局,Local County/City Health Bureaus,1,
肉類或家禽產品,meat or poultry products,1,防檢局
加熱肉品輸銷美國之生產工廠查核計畫（草案）,Directions for Auditing Establishments Producing Heat-Treated Meat Products for the U.S. Market (draft),1,防檢局
加熱肉品輸銷美國之生產工廠查核計畫查檢表,Checklist for the Inspection plan to audit establishments producing heat-treated meat products for the U.S,1,防檢局
輸銷美國食品衛生安全管理系統驗證作業指南,Guidelines Governing Implementation of Hygiene and Safety Management System Certification for Heat-treated Ready to Eat Meat Products Intended for Export to the United States,1,防檢局
工廠登記證明文件,establishment registration certificate,1,防檢局
食品衛生安全管理系統計畫書,HACCP plan,1,防檢局
衛生管理及食品安全管制系統,SPS and HACCP system,1,防檢局
製造流程圖,processing flow chart,1,防檢局
採樣技術,sampling techniques,1,
腸炎沙氏桿菌,Salmonella enteritidis,1,
傷寒沙門氏菌,Salmonella typhimurium,1,
食源性病原體,foodborne pathogen,1,
衛生監管,sanitation control,1,三區管中心、食品組
有效監測,effective monitoring,1,三區管中心、食品組
食品稽查專案,food Inspection and Testing Projects,1,三區管中心、食品組
中央或地方衛生主管機關,central or local competent authority,1,三區管中心、食品組
冷凍魚,"Fish, frozen",1,
甲殼類動物,Crustaceans,1,
軟體類動物,Molluscs,1,
適合供人類食用之甲殼類動物粉、細粒及團粒,"flours, meals and pellets of crustaceans, fit for human consumption",1,
適於人類食用之軟體類動物粉、細粒及團粒,"flours, meals and pellets of molluscs, fit for human",1,
貨品號列,CCC code,1,
歐盟,GB,1,防檢署
獸醫MRL,veterinary MRLs,1,
內部品質管理系統,Internal quality management system,1,
能力檢驗計畫,proficiency testing programs,1,
委任實驗室,commissioned laboratories,1,
國家參考實驗室基礎設施,National Reference laboratory Infrastructure,1,
食品藥物管理署研究檢驗組,Division of Research and Analysis of TFDA,1,
不法產品,illegal products,1,
特定風險物質,Specified Risk Material,1,
加熱全熟肉品衛生安全取樣分析作業指南,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat-treated Ready to Eat Meat Products,1,
微生物（食媒性病原菌）,microorganism,1,
李斯特菌屬所有菌種/單核球增多性李斯特菌,Listeria spp. / Lm,1,
增菌培養液,enrichment,1,
能力測試計畫,proficiency testing schemes,1,食藥署
雞蛋,Chicken (Hens) Eggs,1,食藥署
魚肉,Fish Muscle,1,食藥署
火雞肉,Turkey Muscle,1,食藥署
豬肝,Pig Liver,1,食藥署
羊肉,Sheep meat,1,食藥署
鯡魚,Herring,1,食藥署
魚油,Fish oil,1,食藥署
分析物,Analytes,1,食藥署
基質,Matrix,1,食藥署
實驗室內部品質,laboratory internal quality,1,TFDA
驗證計畫,Calibration program,1,TFDA
陽性及陰性測定,Positive and negative assay controls,1,TFDA
追蹤追溯,Traceability,1,TFDA
員工訓練,Employee training,1,TFDA
校正程序,calibration program,1,TFDA
檢驗方法,analytical methods,1,
行動水準 / 國家容許量,action levels / national tolerances,1,
食品安全營養諮詢委員會,"Food Sanitation, Safety and Nutrition Advisory Committee",1,
獸醫用藥物殘留,Residues of Veterinary Medicinal Products,1,
食鳥肉,poultry meat,1,
食肉カット工場,Meat cutting plants,1,
特殊蛋製品,particular eggs products,1,
百年雞蛋,hundred years old eggs,1,
特產,specialities,1,
皮蛋,preserved duck eggs (hundred years old eggs),1,
低酸性罐頭肉製品,low-acid canned meat products,1,
密閉容器,hermetically sealed containers,1,
密封,sealing,1,
國立成功大學環境微量有毒物質研究中心,ETTS center,1,
行政院農業委員會藥物毒物試驗所,TACTRI,1,
食品中重金屬監測計畫,annual monitoring program of heavy metal in food,1,
豬肉產品,meat products,1,
自願召回,voluntary recall,1,
食品用器具或容器包裝,"food utensils, food containers or packaging",1,
肉類及禽肉產品,meat and poultry products,1,
低酸及酸化罐裝食品,low-acid and acidified canned foods,1,
熱處理程序,thermal process,1,
優良衛生規範,GHP,1,
滅菌設備,sterilization equipment,1,
容器密封控制,sealing control over containers,1,
加工紀錄,processing records,1,
生產紀錄,production records,1,
進輸出,import/export,1,
飼料監測,feeds,1,
食品安全及檢驗,food safety and inspection,1,
查驗不符合通知書,notification of noncompliance for import food and relevant products,1,
複驗,re-examination,1,
查驗機關,inspection authority,1,
退運,Return,1,
銷毀,destroy,1,
限期消毒,disinfection,1,
具結先行放行,prior release,1,
貨品分類號列,CCC Code,1,
輸出國政府,government of the exporting country,1,
暫停受理查驗,temporarily suspend the inspection application,1,
微生物,Microbial,1,
殘留,residue,1,
豬肉和肉製品,pork meat and meat products,1,
微生物監測計劃,microbiological monitoring program,1,
HACCP相關法規和準則,HACCP-related regulations and guidelines,1,
消費品召回,Consumer Product Recall,1,
消費品安全,Consumer Product Safety,1,
動物性產品,products of animal origin,1,
蛋雞場,layer farms,1,
殘留分析,residue analysis,1,
加工蛋製品工廠,processing plants,1,
出口動物產品追溯系統,traceability system for export animal products,1,食藥署(食品組)
追溯或追蹤系統,traceability or tracking system,1,食藥署(食品組)
蛋類樣本,egg samples,1,
國家／區域監視與監測計畫,national/regional surveillance and monitoring programme,1,
抽批查核,batch inspections,1,
畜產品,animal products,1,
出口國主管機關,competent authority of exporting country,1,
核准之生產設施,approved establishments,1,
軟體動物貝類,molluscan shellfish,1,
歐盟核准之生產設施,EU-approved establishments,1,
飲用水品質,Quality of drinking water,1,
食品用水,water to be used in food,1,
化學以及微生物標準,chemical and microbiological requirements,1,
水質檢測自主管理,self-management of water quality testing,1,
地方縣市衛生局,Local Health Bureaus,1,
飲用水品質標準,Drinking Water Quality Standards,1,
行政院農業部,"Council of Agriculture, Executive Yuan",1,動植物防疫檢疫署
肉品檢驗系統,meat inspection system,1,動植物防疫檢疫署
SPS,SPS,1,動植物防疫檢疫署
獸醫證明書,veterinary certificates,1,動植物防疫檢疫署
出口畜禽、豬肉、家禽肉及蛋類及其相關產品,"export livestock and pork, poultry meat and eggs and the related products",1,動植物防疫檢疫署
食品衛生安全,food sanitation safety,1,食品藥物管理署
食品、漁業及農業進出口,"importing and exporting food, fishery, and agriculture",1,食品藥物管理署
食品安全衛生管理法,Food Safety and Hygiene Management Act,1,食品藥物管理署
殘留監測,residue surveillance,1,食品藥物管理署
健康證明書,health certifications,1,食品藥物管理署
出口食品,exported food,1,食品藥物管理署
傳染性動物疾病防治法,Statute for Prevention and Control of Infectious Animal disease,1,動植物防疫檢疫署
畜產法,Animal Industry Act,1,動植物防疫檢疫署
動物產品,products derived from such animals,1,
國家微生物控制計畫,National microbiological control program,1,
微生物檢測,microorganism testing,1,
沙門氏桿菌,Salmonella spp.,1,
食品安全主管機關,Competent food safety authority,1,
衛福部食藥署,Taiwan Food and Drug Administration (TFDA) under the Ministry of Health and Welfare (MOHW),1,食藥署
農業部防檢署,Animal and Plant Health Inspection Agency (APHIA) under the Ministry of Agriculture (MOA),1,防檢署
動植物疫病預防控制,animal and plant epidemic prevention and control,1,防檢署
動植物及其產品進出口檢疫,"import and export quarantine of plants, animals and products thereof",1,防檢署
肉類檢驗,meat inspection,1,防檢署
動物檢疫證明書,animal quarantine certificate,1,防檢署
GHP,Regulations on Good Hygiene Practice for Food,1,食藥署
經濟部標準局,BSMI under the MOEA,1,標準局
衛生證明文件,health certificates,1,標準局
輸歐盟水產品官方管制行動方案,Action Program for the Official Controls of Fish and Fishery Products Intended for Export to the European Union,1,標準局
活甲殼類及軟體動物輸入檢疫條件,Quarantine Requirements for the Importation of Live Crustaceans and Molluscs,1,防檢署
動物用藥,veterinary drug residue,1,食藥署
農業用藥,pesticide residue,1,食藥署
食品毒素,mycotoxins,1,食藥署
動物產品微生物標準,Standards for microorganisms for animal products,1,食藥署(食品組)
成品病原微生物控制,Pathogenic microorganism control for finished products,1,食藥署(食品組)
食品生產水生動物,food-producing aquatic animals,1,APHIA
食品安全管理系統查驗規定,Regulations on Food Safety Control System,1,
衛生及採集稽查,sanitary and collection inspections,1,三區管中心、食藥署食品組
風險等級,hazard levels,1,三區管中心、食藥署食品組
稽查清單,Inspection checklists,1,三區管中心、食藥署食品組
食品中農藥殘留容許量,pesticide residue limits in foods,1,TFDA
官方政府樣品,official government samples,1,
微生物學,microbiological,1,
化學殘留分析,chemical residue analysis,1,
參考實驗室,reference laboratories,1,
私人實驗室,private laboratories,1,
殺菌後暴露的RTE產品,post-lethality exposed RTE products,1,
單核球增多性李斯特菌,Lm or Listeria species,1,
生產輸銷美國加熱肉品食品工廠環境取樣指南,Guidelines on the Procedures for the Sampling Operation Required for Environmental Sampling of Food Factories Producing Heat-Treated Meat to the U.S,1,
環境監測計畫,environmental monitoring program,1,
主管機關,CCA,1,
業者,operators,1,
改善措施,corrective actions,1,
查核所見事項,establishment-specific findings,1,
改善報告,improvement reports,1,
乳產品,Milk products,1,
CN編碼,CN code,1,
輸出容量(噸),Export volume in tonnes,1,
加熱措施,Heat treatment,1,
可疑無風險物質,SRM,1,
人類食品,human food,1,
動物飼料,animal feed,1,
動物來源原料,animal origin materials,1,
非牛肉屠宰/加工廠,non-beef slaughtering/processing plant,1,
動物用藥品之殘留監測計畫,monitoring plan on farms for veterinary drug residues,1,BAPHIQ
國家動物用藥品殘留監測計畫,national veterinary drug residues monitoring plan,1,BAPHIQ
官方管控,Official Controls,1,
動物、飼料和食品、植物健康等,"Animals, Feed and Food, Plant Health etc.",1,
動物用藥品殘留,residues of veterinary medicines,1,
官方查核員,official inspectors,1,
輸入與後市場查核,import and post-market inspection,1,
公務員服務法,Civil Servant Work Act,1,
公職人員利益衝突迴避法,Act on Recusal of Public Servants Due to Conflicts of Interest,1,
肉類、家禽和蛋類產品,"meat, poultry, and egg products",1,
生產輸銷美國加熱肉品食品工廠監督管理要點,Directions (for heat-treated meat products intended for export to the U.S.),1,
衛生程序,sanitation procedures,1,
官方檢查確認紀錄,official inspection records,1,
分析驗證,analytical validation,1,
動物產品衛生管理,sanitary control for animal products,1,防檢署、食藥署(食品組)
動植物防疫檢疫署,"APHIA, MOA",1,防檢署、食藥署(食品組)
動物檢疫組,Animal Quarantine Division,1,防檢署、食藥署(食品組)
動物防疫組,Animal Health Inspection Division,1,防檢署、食藥署(食品組)
肉品檢查組,Meat Inspection Division,1,防檢署、食藥署(食品組)
植物檢疫組,Plant Quarantine Division,1,防檢署、食藥署(食品組)
植物防疫組,Plant Protection Division,1,防檢署、食藥署(食品組)
食品添加物規格檢驗方法,Food additive specifications testing method,1,
國家微生物採樣計劃,national microbiological sampling plans,1,
A組藥理活性物質殘留的監控計畫,control plan for residues of pharmacologically active substances included in Group A,1,
違規率,violation rate,1,
衛生局,local health bureau,1,
低酸食品,low-acid products,1,
商業無菌,commercial sterility,1,
酸性低酸食品,acidified low-acid products,1,
熱處理,thermal processing,1,
肉毒桿菌,botulinum,1,
食品工業研究發展研究所,Food Industry Research and Development Institute (FIRDI),1,
台灣衛生福利部食品藥物管理署,Taiwan Food and Drug Administration (TFDA),1,
滅菌條件報告,sterilization condition report,1,
滅菌值,sterilization value (F0),1,
國家動物及獸醫公共衛生服務,national animal and veterinary public health services,1,
動物健康和食品法,animal health and food law(s),1,
食品製造,Manufactured food,1,
動物健康和食品法規,animal health and food regulations,1,
食品中動物用藥殘留限量,Veterinary drug residue limits in foods,1,
輸出機構,export establishments,1,
指定商品,specified commodities,1,
食品接觸物質的良好作業規範,Good Manufacturing practice for materials in contact,1,
塑膠類食品器具、食品容器或包裝製造業,"plastic food utensils, food containers or packaging manufacturers",1,
交叉污染,Cross contamination,1,
著色劑,colorants,1,
塑膠類食品器具、食品容器或包裝之衛生管理,"Sanitation management of plastic food utensils, food containers or packaging",1,
品質管制,Quality control,1,
標示、檢驗、下架、回收,"Labeling, testing, removal off shelves, recall",1,
農業主管機關,agricultural competent authority,1,
歐盟規定,EU standards,1,
水產養殖（魚類及甲殼類）,aquaculture (fin fish and crustaceans),1,
出口至歐盟,exported to the EU,1,
國家殘留監控計畫,national residue monitoring plan,1,
衛生暨食品安全總署,DG Health and Food Safety,1,
動物用藥品殘留,Residues of Veterinary Medicinal Products,1,
TFDA後市場監測計畫,TFDA post-market surveillance program,1,
監督檢查計畫,supervision and inspection programme,1,
化學物質殘留量,chemical residues,1,
乳品樣品,dairy samples,1,
動物用藥殘留物,veterinary drugs,1,
禁用藥氯黴素,prohibited substance chloramphenicol,1,
β-內醯胺類抗生素,β-lactams,1,
喹諾酮藥物,quinolones,1,
微生物檢測,microorganisms test,1,
總生菌數,total aerobic plate count,1,
大腸菌,coliform bacteria,1,
葡萄球菌腸毒素,Staphylococcal enterotoxins,1,
良好農業規範,GAP,1,
食品安全計畫,food safety program,1,食藥署(三區管中心)
進口衛生要求,import sanitation requirements,1,食藥署(食品組)
食品企業登記,registration of the food businesses,1,食藥署(食品組)
獸醫公共衛生,Veterinary Public Health,1,
乳品加工企業,dairy processing establishments,1,
乳品,milk,1,
食品藥物管理署,"Food and Drug Administration, TFDA",1,食品藥物管理署
食品安全管制系統,Regulations on Food Safety Control System (HACCP),1,
進輸出,"Importing, exporting",1,
抽樣及檢驗,sampling and testing,1,
產品回收,withdrawing from the market,1,
年度稽核專案,Annual auditing projects,1,
食品安全警告,food safety alert,1,
行政院食安聯合小組之查核計畫,Inspection program of the Executive Yuan Joint Task Force for Food Safety,1,
基本食品類別,essential food categories,1,
下架,withdraw from the market,1,
食品分析品質,quality of food analysis,1,
分析質量控制,Analytical quality control (AQC),1,
出口水產品,exporting fishery products,1,
動物疾病防治,animal disease prevention and control,1,防檢署
動物用藥品管理,management of veterinary drugs,1,防檢署
動物產品檢疫,quarantine of animal products,1,防檢署
行動參考值,reference points for action (RPAs),1,
歐盟法規,Regulation (EU) 2019/1871,1,
含硝基呋喃類與其代謝產物,Nitrofurans and their metabolites,1,
偵測極限,detection limits,1,
乳品及乳製品,milk and dairy products,1,
奶粉,Milk Powder,1,
脫脂乳粉,buttermilk powder,1,
噴霧乾燥,spray dried,1,
動物產品檢疫證明,Veterinary Certificate for Export of Animal Product,1,防檢局
非食品接觸表面,non-food contact surfaces,1,
出口到美國,export to the United States,1,
基於富集,enrichment-based,1,
基於計數,enumeration-based,1,
加工肉品,RTE meat,1,
增值培養,enrichment stage,1,
培養基,plates,1,
溶血性,hemolytic test,1,
觸酶試驗,catalase test,1,
運動性,mobility,1,
CAMP 試驗,CAMP test,1,
水質檢驗計畫,water testing programmes,1,
水質,water quality,1,
食品之良好衛生規範準則,Regulations on Good Hygiene Practice for Food,1,
獸醫藥品,veterinary drugs,1,
殘留動物用藥,veterinary drugs residue,1,
進口許可,import permits,1,
進口食品系統查驗管理辦法,Regulations for Systematic Inspection of Imported Food,1,
進口食品及相關產品查驗管理辦法,Regulations of Inspection of Imported Foods and Related Products,1,
水資源控制計畫,Water Control Program,1,
水質抽樣計畫,water quality testing,1,
地方政府衛生局,Local County / City Health Bureaus,1,
乳品加工廠,dairy products processing establishments,1,
發酵、煙燻肉品,fermented and smoked meat products,1,
委外實驗室,outsourced laboratories,1,
自主檢驗計畫,Voluntary test program,1,
召回資訊,recall information,1,
官方稽核報告,Audit reports of official inspections,1,
畜牧業,Livestock Industry,1,
檢驗方法確效狀態,validation status,1,
零售商,retailers,1,
批發商,wholesalers,1,
大型超市,hypermarkets,1,
蛋品加工廠,egg processing plants,1,
內部品質控制參數,Internal quality control parameters,1,
陽性和陰性檢測對照,positive and negative assay controls,1,
微生物檢測,microbiological tests,1,
品質控制程序,quality control procedures,1,
NRL,NRLs,1,食品組
委託偵測實驗室,consigned testing laboratories,1,食品組
初級生產、運輸與加工,"primary production, transport and processing",1,
食品衛生風險,food safety hazards,1,
出口商,exporters,1,
標準作業規程,standard operating procedures,1,
外銷食品及飼料廠場危害分析重要管制點管理系統驗證驗證基準,Inspection Criteria for HACCP Management System for Exporting Food Establishments,1,標準局
產品追溯,Product traceability,1,
出口衛生證明文件,export health certificate,1,
不合格通知書,nonconformity notices,1,標準局
加熱全熟肉品,Heat treated Ready to Eat Meat Products,1,BAPHIQ
環境取樣,environmental sampling,1,BAPHIQ
輸銷美國加熱全熟肉品衛生安全取樣分析作業指南（草案）,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat treated Ready to Eat Meat Products Intended for Export to the United States (Draft),1,BAPHIQ
我國加熱肉品輸銷美國之生產工廠查核計畫環境取樣程序(草案),Guidelines on the procedures for the sampling operation required for environmental sampling (Draft),1,BAPHIQ
加工(熱)豬肉產品,heat-treated meat to U.S,1,BAPHIQ
政府委託之檢驗機關（構）人員,staffs from government contracted inspection agencies (institutions),1,BAPHIQ
官方管制人員,official control officer,1,BAPHIQ
蛋製品,food products containing egg ingredients,1,
國家殘留限量,national residue tolerance limits,1,TFDA
殘留限量,MRLs,1,TFDA
殘留監測計畫,residue control plan,1,TFDA
動物性商品,animal product,1,TFDA
出口產品,exported food products,1,TFDA
農林水產省,"Ministry of Agriculture, Forestry and Fisheries",1,
豬肉加工廠,pork meat processing establishments,1,
美國食品藥物管理局,US FDA,1,
食品安全檢驗局,Food and Safety Service (FSIS),1,
熱處理豬肉,heat-treated pork meat,1,
新加坡農糧局,Agri-food and Veterinary Authority (AVA),1,
豬肉/家禽肉加工廠,pork/poultry meat processing establishments,1,
蛋品加工廠,egg processing establishments,1,
熱處理豬肉、家禽肉及加工蛋品,"heat-treated pork, poultry meat and processed eggs",1,
中國國家品質監督檢驗檢疫總局,"General Administration of Quality Supervision, Inspection and Quarantine (AQSIQ)",1,
衛生證書,Health Certificate,1,食藥署
進口國權責機關,competent authority of the importing countries,1,食藥署
輸入國規範,requirements of the importing country,1,防檢局
地方衛生主管機關,Local (city/county) health authority,1,
生產/食品鏈,production/food chain,1,
乳品製造商,dairy products manufacturers,1,
食品與相關產品可追溯性,traceability of foods and relevant products,1,
監視計畫,surveillance programs,1,
之後市場取樣計畫,post-market sampling program,1,
畜禽及水產品,"livestock, poultry and aquatic products",1,防檢署
產品註冊,product registration,1,防檢署
藥品處方,veterinary prescription,1,防檢署
食品標準,Food standards,1,
微生物或化學限量,microbiological or chemical limits,1,
許可食品添加物,permitted food additives,1,
獸藥殘留限量,Veterinary Drug Residue Limits,1,
農藥殘留限量,pesticide residue limits,1,
即食食品衛生標準,Sanitation Standard for Ready-to-Eat (RTE) Foods,1,
牛、羊、豬及家禽食用內臟重金屬容許量標準,"Standard for the Tolerance of Heavy Metals in Edible Offal of Cattle, Sheep, Pig and Poultry",1,
鮮肉衛生標準,Sanitation Standard for Fresh Meats,1,
食用油與油脂衛生標準,Sanitation Standard for Edible oils and Fats,1,
罐頭食品衛生標準,Sanitation Standard for Canned Foods,1,
實驗室檢驗方法與能力,Laboratory analysis and competence,1,
進口食品管制法,Imported Food Control Act,1,
出口證明文件,export certification,1,
輸入食品,Imported Foods,1,TFDA
國內上市食品,Commercial Foods in the Domestic Market,1,TFDA
衛福部,Ministry of Health and Welfare(MOHW),1,TFDA
食品添加物暨成分,food additives and ingredients,1,TFDA
食品微生物暨摻偽,food microbiology and fraudulent foods,1,TFDA
食品容器具,"food utensils, containers and packages",1,TFDA
動物用藥,veterinary drug residue limits in foods,1,TFDA
食品重金屬,heavy metals in foods,1,TFDA
農業用藥,pesticide residue limits in foods,1,TFDA
食品毒素,mycotoxins in foods,1,TFDA
食品病毒,foodborne viruses,1,TFDA
魚產品,fish and fishery products,1,BSMI
鴨蛋與雞蛋,duck and hen eggs,1,
2002/657/EC 決定,Decision 2002/657/EC,1,
食品化學物質檢驗方法,food chemical testing method,1,
追溯追蹤程序,procedures for traceability,1,漁業署、防檢署、食品組
化學物質,chemicals,1,漁業署、防檢署、食品組
輻射,radiations,1,漁業署、防檢署、食品組
衛生評鑑,hygiene inspection,1,漁業署、防檢署、食品組
動物源產品,animal products,1,
殘留物控制計畫,control plan for residues,1,
化學殘留管制,Chemical residue controls,1,農方
屠前及屠後檢查,ante and PM inspections,1,農方
最大殘留容許量,Maximum Residual Limits (MRLS),1,農方
農方,APHIA,1,農方
美國與歐洲蜂病,American and European foulbrood,1,
賀爾蒙和β-激動劑,hormones and beta-agonists,1,
獸藥殘留,residues of veterinary medicines,1,
試驗矩陣,matrix,1,
z-score,z-score,1,
歐盟委員會決議 98/179/EC 附件第 1.2 節,Section 1.2. of the Annex to Commission Decision 98/179/EC,1,
RTE產品,RTE product,1,
食品接觸面,food-contact surface (FCS),1,
輸銷美國加熱全熟肉品衛生安全取樣分析作業指南（草案）,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat-treated Ready to Eat Meat Products Intended for Export to the United States,1,
生產輸銷美國加熱肉品食品工廠監督管理要點（草案）,Directions for Auditing Establishments Producing Heat Treated Meat Products for the United States Market,1,
檢驗機關,inspection agencies,1,
輸銷美國加熱肉品衛生安全管理系統驗證作業指南,Guidelines Governing Implementation of Hygiene and Safety Management System Verification for Heat-Treated Meat Products Intended for Export to the United States,1,
認可登錄廠場,approved establishments,1,
微生物標準,microbiological limits,1,
食品中微生物限量標準,Sanitation Standard for Microorganisms in Foods,1,
病原菌,Pathogen,1,
冷凍生鮮水產品,Frozen raw aquatic products,1,
即食水產品,Ready-to-eat aquatic products,1,
冷凍熟水產品,Frozen cooked aquatic products,1,
出口前微生物限量標準,Microbiological Limits for Bivalve Molluscs before Exporting to AU,1,
動物疫病防止,animal disease prevention,1,
動物管理,animal management,1,
動物用之藥品管理及使用,drug management and use for animal,1,
飼料管理及使用,feed management and use,1,
乳牛養畜農場管理,dairy cattle and livestock farm management,1,
